This 4-Parameter Logistic Curve fit output was generated by code written by Genesis Lung in tandem with ChatGPT (03/02/2023 Version).

4PL Logistic Equation,4PL Parameter A,4PL Parameter B,4PL Parameter C,4PL Parameter D
D+(A-D)/(1.0+(x/C)^B),0.7596824355371433,2.586053030276932,42.38825326990673,2.228329342958121

R-Squared Value,Blank Correction Factor
0.9919497752858714,0.006500000000000001

Blank Well Absorbance Values
0.005
0.008

Raw Replicate 1 Standard Absorbance Values,Raw Replicate 2 Standard Absorbance Values,Average Blank-Corrected Standard Absorbance,Standard Protein Conc. (pg/mL)
0.717,0.729,0.7165,5.0
0.81,0.83,0.8135000000000001,10.0
1.067,0.952,1.0030000000000001,20.0
1.388,1.385,1.38,40.0
2.07,2.057,2.057,80.0
2.152,2.151,2.145,160.0

Sample ID,Raw Sample Absorbance Values,Blank-Corrected Sample Absorbance,Sample Concentration (pg/mL)
Sample1,1.326,1.3195000000000001,35.14569713495855
Sample2,1.564,1.5575,45.32731379257747
Sample3,1.527,1.5205,43.58820681348345
Sample4,1.305,1.2985,34.325348449852235
Sample5,1.47,1.4635,41.04727266638546
Sample6,1.606,1.5995000000000001,47.40606537801651
Sample7,1.332,1.3255000000000001,35.381389039665244
Sample8,0.781,0.7745000000000001,7.195509396608637
Sample9,1.401,1.3945,38.14613517056248
Sample10,0.988,0.9815,21.742091478016476
Sample11,1.08433,1.07783,25.78534849557805
Sample12,1.656,1.6495,50.05644297403895
Sample13,1.592,1.5855000000000001,46.69956985253484
Sample14,0.832,0.8255,12.985696452005902
Sample15,1.516,1.5095,43.08573141392891
Sample16,1.87,1.8635000000000002,65.0382475418718
Sample17,1.396,1.3895,37.94185589128717
Sample18,0.979355,0.972855,21.35329394003147
Sample19,1.080625,1.074125,25.63692089065716
Sample20,1.654,1.6475,49.946243638577904
Sample21,1.584,1.5775000000000001,46.30213340262325
Sample22,0.818,0.8115,11.793266697064855
Sample23,1.508,1.5015,42.72414625906076
Sample24,1.87,1.8635000000000002,65.0382475418718
Sample25,0.803,0.7965000000000001,10.291348371990278
Sample26,1.024,1.0175,23.306595064686707
Sample27,1.471,1.4645000000000001,41.09059824685854
Sample28,1.552,1.5455,44.75455939827526
Sample29,1.43,1.4235,39.345672430914554
Sample30,1.35,1.3435000000000001,36.092435336093125
Sample31,1.172,1.1655,29.211773542394827
Sample32,0.96,0.9535,20.46023345544632
Sample33,0.797,0.7905000000000001,9.591701045534249
Sample34,1.021,1.0145,23.17915817623763
Sample35,1.472,1.4655,41.13396480132444
Sample36,1.551,1.5445,44.70722115276825
Sample37,1.438,1.4315,39.681347908078635
Sample38,1.347,1.3405,35.97349024340406
Sample39,1.174,1.1675,29.288683970896418
Sample40,0.965,0.9585,20.69416742860293
Sample41,1.589,1.5825,46.55000969126136
Sample42,0.839,0.8325,13.52940898663636
Sample43,0.759,0.7525000000000001,-5.40658966668815
Sample44,1.42,1.4135,38.929075615015385
Sample45,1.494,1.4875,42.0987978695829
Sample46,1.631,1.6245,48.70494842128339
Sample47,1.572,1.5655000000000001,45.71411750682738
Sample48,1.534,1.5275,43.91128322893777
Sample49,1.593,1.5865,46.74956415795162
Sample50,0.837,0.8305,13.377079133438393
Sample51,0.756,0.7495,-6.182964824916555
Sample52,1.427,1.4205,39.22035037099736
Sample53,1.501,1.4945,42.41031746388421
Sample54,1.634,1.6275,48.86423275727601
Sample55,1.57,1.5635000000000001,45.617034073087446
Sample56,1.527,1.5205,43.58820681348345
Sample57,1.241,1.2345000000000002,31.85673469855549
Sample58,1.562,1.5555,45.231242925725965
Sample59,1.039,1.0325,23.936976627073232
Sample60,1.424,1.4175,39.095324393971545
Sample61,1.427,1.4205,39.22035037099736
Sample62,1.695,1.6885000000000001,52.28513049675731
Sample63,1.595,1.5885,46.84976602370302
Sample64,1.585,1.5785,46.35157102413246
Sample65,1.246,1.2395,32.04848347372799
Sample66,1.564,1.5575,45.32731379257747
Sample67,1.043,1.0365,24.103292321112047
Sample68,1.425,1.4185,39.1369671098766
Sample69,1.429,1.4225,39.30386522382942
Sample70,1.694,1.6875,52.225966527005816
Sample71,1.59,1.5835000000000001,46.59979293027692
Sample72,1.584,1.5775000000000001,46.30213340262325
